# Molecule: N2                      
# Box 1                   Boltzmann             Biased
  -0.2395708424E+001   0.7885364161E+003   0.7895890037E+003
  -0.1916566739E+001   0.7886708098E+003   0.7897249603E+003
  -0.1437425054E+001   0.7888050852E+003   0.7898608059E+003
  -0.9582833695E+000   0.7889392426E+003   0.7899965412E+003
  -0.4791416848E+000   0.7890732824E+003   0.7901321670E+003
   0.0000000000E+000   0.7892072050E+003   0.7902676840E+003
   0.4791416848E+000   0.7893410106E+003   0.7904030928E+003
   0.9582833695E+000   0.7894746994E+003   0.7905383939E+003
   0.1437425054E+001   0.7896082717E+003   0.7906735878E+003
   0.1916566739E+001   0.7897417276E+003   0.7908086750E+003
   0.2395708424E+001   0.7898750671E+003   0.7909436559E+003


# Box 2                   Boltzmann             Biased
  -0.4282808058E+000   0.5960762943E+001   0.5989065361E+001
  -0.3426246447E+000   0.5957470880E+001   0.5985683014E+001
  -0.2569684835E+000   0.5954181813E+001   0.5982304347E+001
  -0.1713123223E+000   0.5950895731E+001   0.5978929350E+001
  -0.8565616117E-001   0.5947612623E+001   0.5975558010E+001
   0.0000000000E+000   0.5944332478E+001   0.5972190316E+001
   0.8565616117E-001   0.5941055285E+001   0.5968826257E+001
   0.1713123223E+000   0.5937781033E+001   0.5965465819E+001
   0.2569684835E+000   0.5934509712E+001   0.5962108992E+001
   0.3426246447E+000   0.5931241311E+001   0.5958755765E+001
   0.4282808058E+000   0.5927975818E+001   0.5955406125E+001


