Date and Time     Completed      Estimated Time Left
06-01-2025 15:20      1%    1 days and   9 hours
06-01-2025 15:41      2%    1 days and  10 hours
06-01-2025 16:02      3%    1 days and  10 hours
06-01-2025 16:23      4%    1 days and   9 hours
06-01-2025 16:43      5%    1 days and   9 hours
06-01-2025 17:03      6%    1 days and   9 hours
06-01-2025 17:24      7%    1 days and   8 hours
06-01-2025 17:44      8%    1 days and   8 hours
06-01-2025 18:04      9%    1 days and   7 hours
06-01-2025 18:25     10%    1 days and   7 hours
06-01-2025 18:45     11%    1 days and   7 hours
06-01-2025 19:05     12%    1 days and   6 hours
06-01-2025 19:25     13%    1 days and   6 hours
06-01-2025 19:46     14%    1 days and   6 hours
06-01-2025 20:06     15%    1 days and   5 hours
06-01-2025 20:26     16%    1 days and   5 hours
06-01-2025 20:47     17%    1 days and   5 hours
06-01-2025 21:07     18%    1 days and   4 hours
06-01-2025 21:27     19%    1 days and   4 hours
06-01-2025 21:47     20%    1 days and   4 hours
06-01-2025 22:07     21%    1 days and   3 hours
06-01-2025 22:26     22%    1 days and   3 hours
06-01-2025 22:46     23%    1 days and   2 hours
06-01-2025 23:07     24%    1 days and   2 hours
06-01-2025 23:27     25%    1 days and   2 hours
06-01-2025 23:48     26%    1 days and   2 hours
07-01-2025 00:08     27%    1 days and   1 hours
07-01-2025 00:28     28%    1 days and   1 hours
07-01-2025 00:48     29%   23 hours and  59 minutes
07-01-2025 01:09     30%   23 hours and  39 minutes
07-01-2025 01:29     31%   23 hours and  19 minutes
07-01-2025 01:49     32%   22 hours and  58 minutes
07-01-2025 02:10     33%   22 hours and  38 minutes
07-01-2025 02:30     34%   22 hours and  18 minutes
07-01-2025 02:50     35%   21 hours and  58 minutes
07-01-2025 03:11     36%   21 hours and  38 minutes
07-01-2025 03:32     37%   21 hours and  18 minutes
07-01-2025 03:52     38%   20 hours and  58 minutes
07-01-2025 04:12     39%   20 hours and  38 minutes
07-01-2025 04:32     40%   20 hours and  17 minutes
07-01-2025 04:53     41%   19 hours and  58 minutes
07-01-2025 05:14     42%   19 hours and  38 minutes
07-01-2025 05:34     43%   19 hours and  17 minutes
07-01-2025 05:54     44%   18 hours and  56 minutes
07-01-2025 06:14     45%   18 hours and  36 minutes
07-01-2025 06:35     46%   18 hours and  16 minutes
07-01-2025 06:55     47%   17 hours and  56 minutes
07-01-2025 07:15     48%   17 hours and  36 minutes
07-01-2025 07:36     49%   17 hours and  15 minutes
07-01-2025 07:56     50%   16 hours and  55 minutes
07-01-2025 08:16     51%   16 hours and  35 minutes
07-01-2025 08:37     52%   16 hours and  14 minutes
07-01-2025 08:57     53%   15 hours and  54 minutes
07-01-2025 09:17     54%   15 hours and  34 minutes
07-01-2025 09:38     55%   15 hours and  14 minutes
07-01-2025 09:58     56%   14 hours and  53 minutes
07-01-2025 10:18     57%   14 hours and  33 minutes
07-01-2025 10:39     58%   14 hours and  13 minutes
07-01-2025 10:59     59%   13 hours and  52 minutes
07-01-2025 11:19     60%   13 hours and  32 minutes
07-01-2025 11:39     61%   13 hours and  12 minutes
07-01-2025 11:59     62%   12 hours and  51 minutes
07-01-2025 12:18     63%   12 hours and  30 minutes
07-01-2025 12:38     64%   12 hours and   9 minutes
07-01-2025 12:58     65%   11 hours and  49 minutes
07-01-2025 13:18     66%   11 hours and  28 minutes
07-01-2025 13:38     67%   11 hours and   8 minutes
07-01-2025 13:57     68%   10 hours and  47 minutes
07-01-2025 14:17     69%   10 hours and  27 minutes
07-01-2025 14:37     70%   10 hours and   7 minutes
07-01-2025 14:57     71%    9 hours and  46 minutes
07-01-2025 15:17     72%    9 hours and  26 minutes
07-01-2025 15:37     73%    9 hours and   6 minutes
07-01-2025 15:58     74%    8 hours and  45 minutes
07-01-2025 16:17     75%    8 hours and  25 minutes
07-01-2025 16:37     76%    8 hours and   5 minutes
07-01-2025 16:57     77%    7 hours and  44 minutes
07-01-2025 17:16     78%    7 hours and  24 minutes
07-01-2025 17:36     79%    7 hours and   4 minutes
07-01-2025 17:56     80%    6 hours and  43 minutes
07-01-2025 18:15     81%    6 hours and  23 minutes
07-01-2025 18:35     82%    6 hours and   3 minutes
07-01-2025 18:54     83%    5 hours and  42 minutes
07-01-2025 19:14     84%    5 hours and  22 minutes
07-01-2025 19:34     85%    5 hours and   2 minutes
07-01-2025 19:53     86%    4 hours and  42 minutes
07-01-2025 20:13     87%    4 hours and  21 minutes
07-01-2025 20:32     88%    4 hours and   1 minutes
07-01-2025 20:51     89%    3 hours and  41 minutes
07-01-2025 21:10     90%    3 hours and  21 minutes
07-01-2025 21:30     91%    3 hours and   0 minutes
07-01-2025 21:49     92%    2 hours and  40 minutes
07-01-2025 22:08     93%    2 hours and  20 minutes
07-01-2025 22:28     94%    2 hours and   0 minutes
07-01-2025 22:47     95%    1 hours and  40 minutes
07-01-2025 23:07     96%    1 hours and  20 minutes
07-01-2025 23:26     97%    1 hours and   0 minutes
07-01-2025 23:46     98%   40 minutes and  6 seconds
08-01-2025 00:05     99%   20 minutes and  2 seconds
08-01-2025 00:24    100%    0 minutes and  0 seconds
