Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.098477   50.634002

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7447233577E+000
Box 2    0.2528448359E+002

Rotation per molecule type
Box 1    0.1433645669E+003
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.4858406610E+003
Box 2   0.2249262319E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 350   
Atomtype         X                  Y                   Z
  1        7.4152844597        6.1724385017        0.6516168150
  2        7.4446997762        6.5284294084        0.2334001086
  1        7.4839737439        6.8827189370       -0.1854512784
  1       24.1057916299       27.3116435500        5.6471434856
  2       24.4115287468       27.2722367492        5.1916526302
  1       24.7251813847       27.2456827726        4.7406349941
  1       20.2098271631       14.6505519531       14.9642004143
  2       20.3346074407       14.1983837856       14.6770178405
  1       20.4600747277       13.7337103828       14.4108664032
  1       14.1322748672       25.5489737153       27.3435023080
  2       14.2835096274       25.1074040138       27.0525654661
  1       14.4584231056       24.6881110894       26.7425675343
  1       18.6740889588       17.0344372670       16.7154390443
  2       18.2707737917       17.0530618160       16.3419554407
  1       17.8936818567       17.0782582754       15.9423721453
  1       17.2004057474        7.6321659345       11.3009507262
  2       16.8198316883        7.6154248379       11.6976661421
  1       16.4573949630        7.6011751202       12.1111108962
  1       15.1794587733       27.5520843634       16.1558202142
  2       14.9963847766       27.2170165283       15.7599497081
  1       14.8332674903       26.8848183845       15.3530871475
  1       21.5096687180        8.9505738434       10.8547721753
  2       21.0011018989        9.1553895726       10.8984792408
  1       20.4940583892        9.3630503400       10.9462692394
  1       15.3338123335        4.3951441767        0.6652317672
  2       15.8449334393        4.3189162308        0.4769646287
  1       16.3557625758        4.2500270528        0.2851108475
  1       26.4091293960       14.9577260768       16.0292050644
  2       26.4534924699       15.3771728453       16.3821871122
  1       26.5014786903       15.7754708101       16.7584264680
  1       24.0462663063       19.1561631811       20.5806049135
  2       24.5761915353       19.0592285764       20.4697765140
  1       25.1045805247       18.9370018143       20.3783123490
  1        3.4700461271        5.0110086103       18.7637173677
  2        3.2585984445        5.3520735124       19.1398351819
  1        3.0467005924        5.6913793387       19.5172882988
  1       11.9564504812       10.4033546805       18.6430020617
  2       11.5902202018       10.5526575473       19.0252114761
  1       11.2209240513       10.6866866374       19.4101225765
  1       19.4759733874        9.1565609656        1.9391640472
  2       19.0306162904        8.8406395914        2.0051241978
  1       18.5890640128        8.5172308902        2.0593311817
  1       27.0342473654       11.5753790580       21.6764449366
  2       26.8701514126       11.2197590907       21.2903012365
  1       26.7038722530       10.8584728073       20.9104019584
  1        4.8389406327       10.9204292079       20.3303018103
  2        4.4393711559       11.1956318364       20.0712501813
  1        4.0476543221       11.4782163077       19.8081837683
  1       12.2170914195        2.0716302962        1.0045281088
  2       12.6180058206        2.1211213878        1.3777817423
  1       13.0198369093        2.1821729712        1.7483279328
  1       -0.0277435311        1.6555915137       25.5989032663
  2        0.4637502521        1.8807192956       25.7001521815
  1        0.9610967355        2.0912330201       25.8042216114
  1       19.2159387674        4.9163484703       21.1713922323
  2       19.0414084353        4.4002450545       21.2467343018
  1       18.8751152631        3.8832548376       21.3337268038
  1       10.6397317243        5.9018428858        6.1984196120
  2       10.9008627799        5.9411264696        6.6808793221
  1       11.1517067377        5.9578983928        7.1700582367
  1        0.9645701285       24.8208849703       14.1774433386
  2        0.9979307838       24.5274300912       14.6414167221
  1        1.0338828435       24.2404914214       15.1092560622
  1       23.2419065328        5.7495645642       27.3824398899
  2       23.0796852081        6.2720004199       27.4394049537
  1       22.9141775376        6.7945664468       27.4844821927
  1       11.6829776148       21.1297334525       14.4667781658
  2       12.1291581840       21.2599334551       14.1727188878
  1       12.5759011292       21.3839152995       13.8768316759
  1        9.6151710186        2.6295555546       21.1998052066
  2        9.7539348486        2.9997125610       21.5822034154
  1        9.8933760482        3.3810597741       21.9531892020
  1       12.5946090614        7.1529859334       18.7108760314
  2       12.4395912302        7.2805104883       19.2229375120
  1       12.2970385236        7.4182854624       19.7359645886
  1       24.2070672357       10.1421325932       26.5385834292
  2       24.1795177266       10.6507545751       26.3311112524
  1       24.1536208553       11.1548351669       26.1126344621
  1        7.3461219040       21.1099272663       26.5224322391
  2        7.5862404837       21.0582912527       27.0145468496
  1        7.8475978843       20.9935860218       27.4941357790
  1       27.6172165129       13.6400567503       24.9881195985
  2       27.4862403289       13.1081250375       25.0370470153
  1       27.3659226160       12.5723801780       25.0686870604
  1       11.1844896171       22.9198766564       25.0649179658
  2       11.3739493822       23.0895527392       24.5772551475
  1       11.5585229368       23.2684968840       24.0910333926
  1        1.4309986256       21.6610102985       26.4119696055
  2        1.4418827149       21.5192812580       26.9432834635
  1        1.4574448117       21.3810941717       27.4754132872
  1        7.4496778731        4.5239117926       24.3324783457
  2        6.9471853043        4.7441716426       24.3710376089
  1        6.4419733116        4.9585371273       24.4072077673
  1        2.8839092730       24.9268922228        8.7332231867
  2        2.9512240742       25.4275636191        8.9507016234
  1        2.9946625740       25.9371412768        9.1530471359
  1       22.1872934076       23.6244187036       22.6923071118
  2       21.9278623426       24.0891001288       22.8311116346
  1       21.6793066727       24.5635581894       22.9560501263
  1       10.3688868088       12.5192383416       22.4202899477
  2       10.8634955734       12.3350714206       22.5750307478
  1       11.3658841886       12.1503437784       22.7014482167
  1        6.3817244092        9.6945418462       14.2056517125
  2        6.3820300829       10.0961811577       13.8299047630
  1        6.3755519002       10.5018544799       13.4585731217
  1       23.7219996905       17.5966395133        4.6798107871
  2       23.2841476785       17.2857819946        4.7987780880
  1       22.8604343541       16.9525732515        4.9080435960
  1       17.1133140293       11.8159061193       23.6150276156
  2       17.6420568245       11.8926713901       23.7455578791
  1       18.1697338007       11.9616218772       23.8844925334
  1       27.6729236462       18.5130243741       18.4350247063
  2       27.4504992000       18.9976251681       18.3001564885
  1       27.2295331920       19.4919643434       18.2037054540
  1       16.6675053925       12.2858237886       27.0009904816
  2       16.6697695746       12.3359451426       27.5486972675
  1       16.6736924564       12.3576182955       28.0982560764
  1       27.7390788804       18.4704260575       23.8765991309
  2       27.3645419024       18.7827316965       24.1309359940
  1       26.9784539946       19.0764950705       24.3900483375
  1       15.1442074930        0.6061190581        5.7670512912
  2       15.3291224864        0.1564235642        6.0241123889
  1       15.5103838289       -0.2949214426        6.2808846802
  1       11.5739616558       17.9380086355        7.4600375481
  2       11.6779395321       17.6222368682        7.0218859849
  1       11.7689767615       17.2908892407        6.5924433560
  1        7.5445205951       18.7895105093        3.0084064058
  2        7.0399558217       18.7753690368        2.7899701263
  1        6.5320983918       18.7607727526        2.5793335238
  1       25.2499933306       24.6097002597        7.7785529337
  2       25.6317881149       25.0037597611        7.8166298559
  1       26.0113536838       25.3995571257        7.8587537695
  1       25.1528148847       14.6219202961        8.3884529758
  2       25.4066899305       15.0499916331        8.6225520821
  1       25.6426059889       15.4764398644        8.8774746553
  1        4.1565206338       11.0960358188       25.4132378113
  2        3.6219624810       11.0168959702       25.3108441312
  1        3.0851980016       10.9435748823       25.2159341175
  1       18.4891928616        4.0894955529       16.9987067279
  2       18.8246203071        3.6617671281       17.0825925038
  1       19.1470624908        3.2228484519       17.1592830038
  1       16.3907351063       22.6353325556       23.0232861654
  2       16.2597061682       22.8446425842       22.5318385799
  1       16.1244687736       23.0660843697       22.0468907665
  1        4.2273807695       25.1305251879        2.8806605149
  2        4.3744070102       25.6558232164        2.9509830988
  1        4.5257129241       26.1809873676        3.0127012781
  1       16.4390271915        8.2067383360       27.3782686056
  2       16.8246128546        7.8727070657       27.1727283252
  1       17.2207090662        7.5355825083       26.9939692055
  1        2.1796670263       26.9355196562       23.3278235846
  2        1.8600408366       27.2678031885       23.6277014814
  1        1.5346019690       27.6021255552       23.9189369491
  1        3.0312435695       27.3267359399       12.3623326013
  2        2.6316765658       27.6521922781       12.5544897804
  1        2.2531758488       27.9922953073       12.7632172001
  1       20.3992303216       15.7860937053       26.7440682128
  2       20.4273537150       15.2817262641       26.5265307242
  1       20.4443727491       14.7775172743       26.3074790270
  1        0.1803581582       26.3877310477        5.1732275786
  2        0.7048918872       26.4896165198        5.3035491720
  1        1.2224687521       26.5801261301        5.4660982365
  1       10.6076295353       13.8321125197        3.7672263040
  2       10.5550084005       13.6719858865        4.2907628142
  1       10.5133736907       13.4957523179        4.8100972722
  1       11.8423442583        0.5567095430        8.1142712867
  2       11.6823399037        1.0785482478        8.0465736307
  1       11.5230570933        1.6028660970        7.9994591080
  1       23.6469821863       15.9454385127        1.3036592036
  2       24.1385857009       16.0489647200        1.5275080563
  1       24.6376228069       16.1457725218        1.7374847583
  1       18.4928473975       22.0339578461        2.7191904628
  2       18.7357940683       21.6067846380        2.9661721735
  1       19.0206560077       21.1957139643        3.1950270963
  1       23.4757134017       17.0994594553       17.2237511551
  2       23.4914504295       17.6484273466       17.2535269896
  1       23.5087903128       18.1957851615       17.3045049253
  1        9.3595613180        3.8097197639        3.0543810068
  2        9.6518461634        3.6133972873        3.4769056266
  1        9.9512059845        3.4316895667        3.9010117463
  1        8.3106559490        2.5428682591       26.8914876437
  2        8.2491866467        2.5032683911       27.4366054065
  1        8.2056391037        2.4751624284       27.9841578381
  1       24.0339116441       21.2791080693        0.9036290199
  2       24.0220538904       21.7502612958        1.1871321607
  1       23.9851627056       22.2179775927        1.4741522036
  1        0.2283543436       23.0897146241        7.6905029965
  2        0.0069114102       22.6769589244        7.4022396455
  1       -0.2239362717       22.2784733151        7.1015428448
  1       27.6521166979       26.8492090462       10.2332603106
  2       27.2780783690       26.4939077647       10.4239336644
  1       26.8992689600       26.1423352016       10.6120829762
  1       24.9104732574       24.2489993933       26.1278045732
  2       24.9218662526       24.0906271129       26.6543864001
  1       24.9694571536       23.9178501622       27.1743702753
  1       25.2753513788       22.1124253504       17.8179466702
  2       25.4309075151       22.2234118012       17.3022100163
  1       25.5913264568       22.3439129239       16.7901111571
  1       13.9943061421        4.1349348862       10.2653658936
  2       13.8611925639        3.7211964083        9.9283180524
  1       13.7309376847        3.3152056051        9.5808916097
  1        6.9128033081       17.9219647250       16.5445692064
  2        7.1635762727       17.6815132678       16.9709446477
  1        7.4124220591       17.4316199649       17.3929980931
  1       20.2653378392       25.6920547375        4.8434766840
  2       19.8389649439       25.4993176989        4.5544116600
  1       19.4178745373       25.3011679531        4.2612912978
  1        3.7476389345       13.9511653603       27.2721831920
  2        3.8411012143       13.8981155995       27.8115814911
  1        3.9024523509       13.8539756654       28.3563637442
  1       16.9608271180        3.0595002834        7.3000647899
  2       17.0545156551        3.4863711808        6.9661430999
  1       17.1359202040        3.9270565281        6.6472861993
  1       13.7802524921       20.9485028630        6.5425536577
  2       13.8481902104       21.2269232335        7.0119858293
  1       13.9089360926       21.4849169056        7.4939082317
  1       24.8329891904        0.5309524783        0.8637858812
  2       24.9381812378        0.8415960950        0.4222712421
  1       25.0658106541        1.1354308321       -0.0247990861
  1       18.3620261742       26.8586183911       17.6420919082
  2       18.6117878596       27.1645982233       17.2593446773
  1       18.8712391821       27.4670090433       16.8802237122
