# Molecule: N2                      
# Box 1                   Boltzmann             Biased
   0.1247461919E-001   0.7915496692E+003   0.7925504528E+003
   0.1247969535E-001   0.7917054296E+003   0.7927047410E+003
   0.1248477152E-001   0.7918611722E+003   0.7928589647E+003
   0.1248984768E-001   0.7920168969E+003   0.7930131238E+003
   0.1249492384E-001   0.7921726035E+003   0.7931672177E+003
   0.1250000000E-001   0.7923282918E+003   0.7933212461E+003
   0.1250507616E-001   0.7924839616E+003   0.7934752085E+003
   0.1251015232E-001   0.7926396124E+003   0.7936291044E+003
   0.1251522848E-001   0.7927952440E+003   0.7937829334E+003
   0.1252030465E-001   0.7929508559E+003   0.7939366949E+003
   0.1252538081E-001   0.7931064476E+003   0.7940903882E+003


# Box 2                   Boltzmann             Biased
   0.9065963031E-002   0.7455571069E+001   0.7454869160E+001
   0.9752770425E-002   0.7061886377E+001   0.7068450881E+001
   0.1043957782E-001   0.6669937537E+001   0.6683308762E+001
   0.1112638521E-001   0.6295318154E+001   0.6314833978E+001
   0.1181319261E-001   0.5948095450E+001   0.5972478942E+001
   0.1250000000E-001   0.5632146664E+001   0.5660104253E+001
   0.1318680739E-001   0.5346975202E+001   0.5377543023E+001
   0.1387361479E-001   0.5090104779E+001   0.5122603586E+001
   0.1456042218E-001   0.4858643654E+001   0.4892512422E+001
   0.1524722958E-001   0.4649942729E+001   0.4684624270E+001
   0.1593403697E-001   0.4461740353E+001   0.4496647711E+001


