Simulation state at cycle:     810000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.153556   50.617002

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.6293033031E+000
Box 2    0.2532346345E+002

Rotation per molecule type
Box 1    0.1029472325E+003
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.4302791930E+003
Box 2   0.1992033301E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 387   
Atomtype         X                  Y                   Z
  1       11.9231490811       14.9964029423        3.0336400658
  2       12.0548739924       14.8076319860        2.5341262284
  1       12.1619615945       14.6270026025        2.0257904434
  1        8.5747259856       22.3224197360        9.7223066644
  2        8.0904898725       22.4468513026        9.4931076852
  1        7.6043433853       22.5719917554        9.2683823884
  1       23.3546446538       18.2418789994        1.6320151626
  2       23.8818443443       18.0879411942        1.6614028882
  1       24.4080653570       17.9291540220        1.6808471366
  1       26.7686687424       22.0767352682        7.8076925748
  2       26.7457121251       21.7398613490        7.3735394263
  1       26.7255834300       21.3944568918        6.9459992580
  1       21.5776189640       23.0004220267       21.7079925815
  2       21.1879301466       23.1735898414       22.0553476355
  1       20.8012610096       23.3211030065       22.4176000939
  1       14.4073460163       22.2540238595        5.3773546684
  2       14.0671871594       21.9992624128        5.0282292505
  1       13.7368380825       21.7374610556        4.6749170151
  1       17.2399254498        3.2515826277        3.7823410010
  2       16.9658956912        3.3052147735        4.2561883228
  1       16.6761817864        3.3439660249        4.7220898069
  1        4.5773719870       10.9817678403       21.6333525516
  2        4.9581003761       10.5904909315       21.7000479366
  1        5.3491232651       10.2079765618       21.7573528776
  1       12.3058382638       16.8574655068       26.6631831825
  2       12.3696884210       16.6702435921       26.1499862300
  1       12.4497440806       16.4589263466       25.6485521744
  1       16.5580754257       17.0456162653        9.2023480581
  2       16.4549228148       17.4388418140        9.5727980638
  1       16.3377923287       17.8264626834        9.9449949335
  1        2.5932345249       22.0877930628       20.1673327708
  2        2.7251283591       22.0883499417       20.7012838045
  1        2.8745630371       22.0786007322       21.2305042018
  1       24.4025164861        2.6223679426       11.9587615350
