Date and Time     Completed      Estimated Time Left
31-12-2024 15:29      1%    1 days and  17 hours
31-12-2024 15:55      2%    1 days and  17 hours
31-12-2024 16:20      3%    1 days and  17 hours
31-12-2024 16:46      4%    1 days and  17 hours
31-12-2024 17:13      5%    1 days and  17 hours
31-12-2024 17:40      6%    1 days and  17 hours
31-12-2024 18:07      7%    1 days and  17 hours
31-12-2024 18:34      8%    1 days and  17 hours
31-12-2024 19:01      9%    1 days and  16 hours
31-12-2024 19:29     10%    1 days and  16 hours
31-12-2024 19:56     11%    1 days and  16 hours
31-12-2024 20:23     12%    1 days and  15 hours
31-12-2024 20:51     13%    1 days and  15 hours
31-12-2024 21:18     14%    1 days and  15 hours
31-12-2024 21:45     15%    1 days and  14 hours
31-12-2024 22:12     16%    1 days and  14 hours
31-12-2024 22:39     17%    1 days and  13 hours
31-12-2024 23:07     18%    1 days and  13 hours
31-12-2024 23:34     19%    1 days and  13 hours
01-01-2025 00:01     20%    1 days and  12 hours
01-01-2025 00:28     21%    1 days and  12 hours
01-01-2025 00:55     22%    1 days and  11 hours
01-01-2025 01:22     23%    1 days and  11 hours
01-01-2025 01:49     24%    1 days and  10 hours
01-01-2025 02:16     25%    1 days and  10 hours
01-01-2025 02:43     26%    1 days and  10 hours
01-01-2025 03:10     27%    1 days and   9 hours
01-01-2025 03:37     28%    1 days and   9 hours
01-01-2025 04:04     29%    1 days and   8 hours
01-01-2025 04:31     30%    1 days and   8 hours
01-01-2025 04:58     31%    1 days and   7 hours
01-01-2025 05:25     32%    1 days and   7 hours
01-01-2025 05:52     33%    1 days and   7 hours
01-01-2025 06:19     34%    1 days and   6 hours
01-01-2025 06:46     35%    1 days and   6 hours
01-01-2025 07:13     36%    1 days and   5 hours
01-01-2025 07:40     37%    1 days and   5 hours
01-01-2025 08:07     38%    1 days and   4 hours
01-01-2025 08:35     39%    1 days and   4 hours
01-01-2025 09:02     40%    1 days and   3 hours
01-01-2025 09:29     41%    1 days and   3 hours
01-01-2025 09:56     42%    1 days and   3 hours
01-01-2025 10:23     43%    1 days and   2 hours
01-01-2025 10:50     44%    1 days and   2 hours
01-01-2025 11:17     45%    1 days and   1 hours
01-01-2025 11:45     46%    1 days and   1 hours
01-01-2025 12:12     47%   23 hours and  48 minutes
01-01-2025 12:39     48%   23 hours and  21 minutes
01-01-2025 13:06     49%   22 hours and  54 minutes
01-01-2025 13:33     50%   22 hours and  27 minutes
01-01-2025 14:00     51%   22 hours and   0 minutes
01-01-2025 14:27     52%   21 hours and  34 minutes
01-01-2025 14:54     53%   21 hours and   7 minutes
01-01-2025 15:21     54%   20 hours and  40 minutes
01-01-2025 15:48     55%   20 hours and  13 minutes
01-01-2025 16:15     56%   19 hours and  46 minutes
01-01-2025 16:42     57%   19 hours and  19 minutes
01-01-2025 17:10     58%   18 hours and  53 minutes
01-01-2025 17:39     59%   18 hours and  27 minutes
01-01-2025 18:06     60%   18 hours and   0 minutes
01-01-2025 18:33     61%   17 hours and  33 minutes
01-01-2025 19:01     62%   17 hours and   6 minutes
01-01-2025 19:28     63%   16 hours and  40 minutes
01-01-2025 19:55     64%   16 hours and  13 minutes
01-01-2025 20:22     65%   15 hours and  46 minutes
01-01-2025 20:49     66%   15 hours and  18 minutes
01-01-2025 21:16     67%   14 hours and  51 minutes
01-01-2025 21:43     68%   14 hours and  24 minutes
01-01-2025 22:10     69%   13 hours and  57 minutes
01-01-2025 22:37     70%   13 hours and  30 minutes
01-01-2025 23:04     71%   13 hours and   3 minutes
01-01-2025 23:31     72%   12 hours and  36 minutes
01-01-2025 23:58     73%   12 hours and   9 minutes
02-01-2025 00:25     74%   11 hours and  42 minutes
02-01-2025 00:53     75%   11 hours and  16 minutes
02-01-2025 01:20     76%   10 hours and  48 minutes
02-01-2025 01:47     77%   10 hours and  21 minutes
02-01-2025 02:14     78%    9 hours and  54 minutes
02-01-2025 02:42     79%    9 hours and  27 minutes
02-01-2025 03:09     80%    9 hours and   0 minutes
02-01-2025 03:36     81%    8 hours and  33 minutes
02-01-2025 04:03     82%    8 hours and   6 minutes
02-01-2025 04:30     83%    7 hours and  39 minutes
02-01-2025 04:57     84%    7 hours and  12 minutes
02-01-2025 05:24     85%    6 hours and  45 minutes
02-01-2025 05:52     86%    6 hours and  18 minutes
02-01-2025 06:20     87%    5 hours and  51 minutes
02-01-2025 06:47     88%    5 hours and  24 minutes
02-01-2025 07:14     89%    4 hours and  57 minutes
02-01-2025 07:41     90%    4 hours and  30 minutes
02-01-2025 08:08     91%    4 hours and   3 minutes
02-01-2025 08:35     92%    3 hours and  36 minutes
02-01-2025 09:02     93%    3 hours and   9 minutes
02-01-2025 09:30     94%    2 hours and  42 minutes
02-01-2025 09:57     95%    2 hours and  15 minutes
02-01-2025 10:24     96%    1 hours and  48 minutes
02-01-2025 10:51     97%    1 hours and  21 minutes
02-01-2025 11:18     98%   54 minutes and  8 seconds
02-01-2025 11:45     99%   27 minutes and  4 seconds
02-01-2025 12:12    100%    0 minutes and  0 seconds
