Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    27.477011   50.820494

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.4765773344E+000
Box 2    0.2540980532E+002

Rotation per molecule type
Box 1    0.7666395692E+002
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.3067737379E+003
Box 2   0.1420248786E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 399   
Atomtype         X                  Y                   Z
  1       20.6185853922       17.3027462997        1.6243578387
  2       20.0729243061       17.2731283859        1.5620942195
  1       19.5256826584       17.2551067559        1.5101153882
  1        5.0879557718       11.1692545855        9.5469435149
  2        5.0813585228       11.1266938729       10.0952546146
  1        5.0889315158       11.0832951081       10.6434874082
  1       17.7514307863        2.5607155807       22.7441857094
  2       18.0015596101        2.6338404275       23.2285289021
  1       18.2737335053        2.6892504562       23.7032404972
  1       25.9105981985        8.5307407850       14.0951835632
  2       26.2128426304        8.8494239318       14.4262263933
  1       26.5168064424        9.1640734479       14.7595455826
  1       25.0366494114        7.0948618578       10.3282467504
  2       25.5629073037        7.2475313575       10.3756245371
  1       26.0927676217        7.3877344322       10.4213535247
  1       17.8080813191       18.6763515267        8.4956822964
  2       17.3690853983       18.8582430460        8.7726264365
  1       16.9372913385       19.0184027461        9.0732969527
  1       19.2440933655       25.3871109409        0.0048973098
  2       19.0603970759       24.9311873278        0.2516549483
  1       18.8726514607       24.4722033029        0.4895314875
  1        3.1532150879       10.2141041178       13.7307504207
  2        2.6123859144       10.3132849756       13.7178290205
  1        2.0706727098       10.4082373294       13.7233836068
  1       13.3524641694       22.8294924755       12.0321005854
  2       13.0676339470       23.2981158424       12.0740992101
  1       12.7560274861       23.7490082513       12.1198971154
  1       18.9832401695        6.0038499737        5.0882728948
  2       18.8991976636        6.3542139751        5.5038230406
  1       18.8287156661        6.7068401208        5.9199805690
  1       23.7015960010       17.1173399468        0.7379265647
  2       23.7282831205       16.7700637047        0.3122658908
  1       23.7491652580       16.4216457121       -0.1127856799
  1       27.0121903668       19.6559326425        9.3094064649
  2       27.3110513345       20.0534942958        9.5441975502
  1       27.6295606123       20.4338625709        9.7816250429
  1        9.3087072164       24.5637882332       11.8728424110
  2        8.9318433535       24.6341382577       11.4784764605
  1        8.5399619067       24.6749771805       11.0947303035
  1       17.5722196451       26.2354172100       20.9832718857
  2       17.5883763136       26.7790438047       20.9013628653
  1       17.5907935940       27.3225421189       20.8170791880
  1        6.4884809732       17.1064716660       24.6775315719
  2        6.9284503045       17.4304834144       24.6147352789
  1        7.3559521989       17.7725318669       24.5623426701
  1        1.8012998680       21.7845665606       12.4905976735
  2        2.0913931164       22.2304808325       12.6302628779
  1        2.3811076487       22.6694749354       12.7910411925
  1       23.9826690244        2.2052081019       16.1750819161
  2       23.8225515166        2.3849126528       16.6696207498
  1       23.6602788237        2.5969118262       17.1504782366
  1        3.4149335666        4.8093517779        8.5033623525
  2        3.6395849694        4.8365807064        8.0020736805
  1        3.8550348020        4.8719391458        7.4972656483
  1       24.0545079830        7.2984383030        4.3624998315
  2       24.4552626575        7.6457756750        4.5082820005
  1       24.8587708431        7.9694519904        4.6951369872
  1       19.0415699124       18.8519103447       26.0845762431
  2       18.6239422168       18.9871107623       25.7532034094
  1       18.2213813646       19.1374604518       25.4099254897
  1       15.9261535536       21.2063003371       26.9653105430
  2       16.1218532651       21.5855710524       26.6183878608
  1       16.3213996220       21.9688787695       26.2781578733
  1       20.5534083429       13.1729794867       21.2735826135
  2       20.2350527695       12.7793515902       21.0586249246
  1       19.8902974463       12.4059643423       20.8483257825
  1       21.5910962016       16.5639149097        8.9708665968
  2       21.3317722063       17.0484615701        8.9492888451
  1       21.0788447829       17.5365994036        8.9335036337
  1       20.4446784294       21.0459631951        8.2880973741
  2       20.6139868021       21.4901911131        8.5646768957
  1       20.7710277359       21.9403274919        8.8389311292
  1       21.7926903169        5.3168491562       17.4437930535
  2       21.3325950033        5.2879425821       17.1438318687
  1       20.8547762069        5.2645662586       16.8724599020
  1       10.4059346713       21.8541576779        9.8719305149
  2       10.7971358506       21.7577414039        9.4975436302
  1       11.1677354211       21.6392332293        9.1088126565
  1       19.3485279928       11.9619705492       24.3810350074
  2       19.2280536238       11.4870571024       24.6309212704
  1       19.1067042297       11.0029203718       24.8619752676
  1        0.7759491565        6.9178775014        3.1781279503
  2        0.5488723933        7.0236518246        2.6884873309
  1        0.3368885808        7.1451540330        2.1957398544
  1       13.7021526926       11.7840135597       26.1696010984
  2       13.4785791631       11.2983298986       26.2985439473
  1       13.2709133457       10.8056250824       26.4274503914
  1        9.6752265940        3.9067177274       20.5400557239
  2        9.8917831325        3.4309120118       20.3691399943
  1       10.1087079258        2.9554474988       20.1977424158
  1       26.8483771433        9.5763827822       26.6021539296
  2       26.4721284286        9.4892430719       26.2105628474
  1       26.0824564754        9.4126384730       25.8300533163
  1        1.3345642581        9.6756861207        5.2148770106
  2        1.4245936788        9.7798383011        4.6823856710
  1        1.5105862121        9.8714421344        4.1469288372
  1       12.9541149342        1.8748275476       16.2435663256
  2       13.0186430193        2.0900854986       16.7455624818
  1       13.0820089711        2.3017642361       17.2492259282
  1       20.2233954277       19.1318012615       11.8133353067
  2       19.7776142712       19.3722781591       12.0276948698
  1       19.3318065163       19.6101278883       12.2449112388
  1        0.5440444271       13.4680400434        8.5113086789
  2        0.9590528976       13.7987744433        8.3668001113
  1        1.3737452381       14.1235306345        8.2084849888
  1       17.6490590597       24.9346642364        7.7110980406
  2       18.0638624988       24.5743362401        7.7356305090
  1       18.4726908402       24.2078385715        7.7678616304
  1        9.8301131548       25.2321001970       26.0751495935
  2        9.6485882132       24.7201524512       25.9887887155
  1        9.4621152429       24.2105957974       25.8989007475
  1        4.3852962088       11.7468830352        5.4694317123
  2        4.7353112117       11.4658303331        5.7872349162
  1        5.0891150805       11.2004021002        6.1141457214
  1        1.2670165536        6.4028841067       21.5960836664
  2        1.8063823383        6.3245947217       21.5222235117
  1        2.3487917210        6.2504236981       21.4693962478
  1       22.1037426800        4.0325357808       10.8769840227
  2       22.1865766325        4.5762542184       10.8799499841
  1       22.2809813123        5.1178656518       10.8955964107
  1        9.9419569251        3.7653104294       15.7717521804
  2        9.9042132026        3.7854203984       16.3200869327
  1        9.8415812901        3.7891595770       16.8664963589
  1       13.7652818508       14.3734309352       16.1920253486
  2       13.8672618605       14.5547544028       15.6828869807
  1       13.9531402310       14.7297122941       15.1685771123
  1       16.7292028805       22.0206834070       11.1441190329
  2       16.9311221590       22.2759440364       10.7007561837
  1       17.1213137878       22.5229768379       10.2476536144
  1       19.1408792380       20.1073984365       22.0238183097
  2       18.7145210784       19.7735452599       22.1200512364
  1       18.2780531973       19.4478005514       22.1967726327
  1        9.7008057160       17.5027262624       13.3087095957
  2        9.4585862774       17.7301230892       12.8703941536
  1        9.2186609174       17.9576383533       12.4308800752
  1        1.9390028664        1.4926845769        7.2871733943
  2        1.4440861917        1.7307065760        7.2571232191
  1        0.9518807291        1.9730287294        7.2182162073
  1       23.7504833704       13.0436536519       10.6902103635
  2       24.1964028608       13.3442492720       10.5748930569
  1       24.6396613444       13.6493909789       10.4612688762
  1        2.9878920048       25.7715223758       13.7879583087
  2        2.7585715270       26.0543417134       14.2001783237
  1        2.5408664507       26.3169413991       14.6316246168
  1       10.5658551600        4.2120627419        1.0856233169
  2       10.7999870724        4.6651377097        1.2915488404
  1       11.0183803492        5.1172078536        1.5161305862
  1       10.8277923268       10.3230462929       20.2056263163
  2       10.2868828971       10.2960652921       20.1097669693
  1        9.7431035717       10.2760931076       20.0297347503
  1       17.3254574081       25.0420255123       24.9586499198
  2       16.8943342959       25.0151016894       24.6181973242
  1       16.4630385569       24.9769551804       24.2790383226
  1       12.2547786675       23.0856081809        0.1894865082
  2       12.7132177806       22.8446194245        0.3745756728
  1       13.1736585917       22.6214558033        0.5762988906
  1       12.0853532162        6.5514417026       18.2380125132
  2       12.0940126550        6.6523529987       18.7786065609
  1       12.0875985009        6.7371358269       19.3219947552
  1       24.4636655326        2.9529543360        8.2225563379
  2       24.6700331899        2.6174911105        8.6064532177
  1       24.8795390411        2.3003115758        9.0039509410
  1        2.5326367174       25.5980343527        5.4735804793
  2        2.0076058328       25.7072389957        5.5957153072
  1        1.4869707268       25.8303091624        5.7233586362
  1        7.0971611803       10.9421228259        0.8424970874
  2        6.7662488842       10.7434963357        0.4506494516
  1        6.4249967833       10.5263782224        0.0779475231
  1       18.4227751427       20.4868217619        2.3364898021
  2       18.6631412034       20.9753547533        2.2586458992
  1       18.8898862698       21.4686279974        2.1705086172
  1       11.9117098249       23.0426160697        3.7296920180
  2       11.8265894442       22.9471067865        4.2646055602
  1       11.7609092839       22.8547173079        4.8027972544
  1        9.5208591582       13.9913304470       17.7375734435
  2        9.0104857485       14.0242301466       17.5352455107
  1        8.4992611774       14.0627899663       17.3360908541
  1       27.6775674128        0.9199897160        2.9012280982
  2       27.4064394994        0.9737225321        3.3767304000
  1       27.1457976302        1.0366106821        3.8569500327
  1        7.7938490556        2.8078335691       12.4493813998
  2        7.8045241616        3.3378705039       12.5958289666
  1        7.8311720574        3.8657450818       12.7479418148
  1        1.3368193699       21.7243209768       27.5992676318
  2        1.5811705437       22.1785382561       27.4082724302
  1        1.8363930360       22.6268946033       27.2176469745
  1        5.1831527156       20.6435851894       14.6618135062
  2        5.1931151757       20.6276744764       14.1121339645
  1        5.2064546877       20.5971453505       13.5631439565
  1       20.2404722037        4.0693693047       26.7368812841
  2       20.4182819504        4.0170658034       26.2190511597
  1       20.5902343038        3.9698712741       25.6987579120
  1       14.7489178872        7.0997417843        1.4235022498
  2       14.6021922702        6.5885543452        1.5637127896
  1       14.4499294062        6.0782947068        1.7013758588
  1       12.0759307727       11.8279418678       10.0431388191
  2       11.6662690682       11.4628193222       10.0800551369
  1       11.2576509819       11.0949690416       10.0948006313
  1       11.5717283841       27.3717150835        3.6634212760
  2       11.7318835786       26.9375484795        3.9606580060
  1       11.8838458289       26.4924957632        4.2458518930
  1       24.6499442846        4.4341273575       19.7638836496
  2       24.1401070692        4.3025274802       19.9227782248
  1       23.6294046270        4.1701578579       20.0782172727
  1       14.4316206143        6.4222560197       15.9969488619
  2       14.3397014161        6.8927704770       15.7273806767
  1       14.2322522900        7.3440340238       15.4318880446
