# Molecule: N2                      
# Box 1                   Boltzmann             Biased
  -0.2497532843E+001   0.7880547314E+003   0.7890867769E+003
  -0.1998026275E+001   0.7881952597E+003   0.7892276798E+003
  -0.1498519706E+001   0.7883354754E+003   0.7893682781E+003
  -0.9990131373E+000   0.7884753809E+003   0.7895085744E+003
  -0.4995065686E+000   0.7886149791E+003   0.7896485715E+003
   0.0000000000E+000   0.7887542723E+003   0.7897882721E+003
   0.4995065686E+000   0.7888932635E+003   0.7899276789E+003
   0.9990131373E+000   0.7890319551E+003   0.7900667949E+003
   0.1498519706E+001   0.7891703501E+003   0.7902056227E+003
   0.1998026275E+001   0.7893084511E+003   0.7903441653E+003
   0.2497532843E+001   0.7894462608E+003   0.7904824254E+003


# Box 2                   Boltzmann             Biased
  -0.4251818874E+000   0.6003182370E+001   0.6007607116E+001
  -0.3401455100E+000   0.6000491510E+001   0.6004948071E+001
  -0.2551091325E+000   0.5997800852E+001   0.6002289054E+001
  -0.1700727550E+000   0.5995110396E+001   0.5999630068E+001
  -0.8503637749E-001   0.5992420143E+001   0.5996971112E+001
   0.0000000000E+000   0.5989730095E+001   0.5994312187E+001
   0.8503637749E-001   0.5987040253E+001   0.5991653295E+001
   0.1700727550E+000   0.5984350616E+001   0.5988994435E+001
   0.2551091325E+000   0.5981661188E+001   0.5986335608E+001
   0.3401455100E+000   0.5978971967E+001   0.5983676815E+001
   0.4251818874E+000   0.5976282956E+001   0.5981018056E+001


