Date and Time     Completed      Estimated Time Left
31-12-2024 15:31      1%    1 days and  16 hours
31-12-2024 15:56      2%    1 days and  17 hours
31-12-2024 16:21      3%    1 days and  17 hours
31-12-2024 16:48      4%    1 days and  17 hours
31-12-2024 17:15      5%    1 days and  17 hours
31-12-2024 17:41      6%    1 days and  17 hours
31-12-2024 18:07      7%    1 days and  17 hours
31-12-2024 18:34      8%    1 days and  16 hours
31-12-2024 19:01      9%    1 days and  16 hours
31-12-2024 19:28     10%    1 days and  16 hours
31-12-2024 19:55     11%    1 days and  15 hours
31-12-2024 20:21     12%    1 days and  15 hours
31-12-2024 20:49     13%    1 days and  15 hours
31-12-2024 21:17     14%    1 days and  14 hours
31-12-2024 21:44     15%    1 days and  14 hours
31-12-2024 22:11     16%    1 days and  14 hours
31-12-2024 22:38     17%    1 days and  13 hours
31-12-2024 23:05     18%    1 days and  13 hours
31-12-2024 23:31     19%    1 days and  12 hours
31-12-2024 23:58     20%    1 days and  12 hours
01-01-2025 00:25     21%    1 days and  11 hours
01-01-2025 00:51     22%    1 days and  11 hours
01-01-2025 01:18     23%    1 days and  11 hours
01-01-2025 01:44     24%    1 days and  10 hours
01-01-2025 02:11     25%    1 days and  10 hours
01-01-2025 02:38     26%    1 days and   9 hours
01-01-2025 03:06     27%    1 days and   9 hours
01-01-2025 03:34     28%    1 days and   9 hours
01-01-2025 04:02     29%    1 days and   8 hours
01-01-2025 04:28     30%    1 days and   8 hours
01-01-2025 04:56     31%    1 days and   7 hours
01-01-2025 05:24     32%    1 days and   7 hours
01-01-2025 05:52     33%    1 days and   6 hours
01-01-2025 06:20     34%    1 days and   6 hours
01-01-2025 06:49     35%    1 days and   6 hours
01-01-2025 07:16     36%    1 days and   5 hours
01-01-2025 07:43     37%    1 days and   5 hours
01-01-2025 08:09     38%    1 days and   4 hours
01-01-2025 08:36     39%    1 days and   4 hours
01-01-2025 09:03     40%    1 days and   3 hours
01-01-2025 09:30     41%    1 days and   3 hours
01-01-2025 09:56     42%    1 days and   3 hours
01-01-2025 10:23     43%    1 days and   2 hours
01-01-2025 10:51     44%    1 days and   2 hours
01-01-2025 11:20     45%    1 days and   1 hours
01-01-2025 11:47     46%    1 days and   1 hours
01-01-2025 12:13     47%   23 hours and  48 minutes
01-01-2025 12:41     48%   23 hours and  22 minutes
01-01-2025 13:09     49%   22 hours and  56 minutes
01-01-2025 13:37     50%   22 hours and  30 minutes
01-01-2025 14:04     51%   22 hours and   3 minutes
01-01-2025 14:32     52%   21 hours and  37 minutes
01-01-2025 14:59     53%   21 hours and  10 minutes
01-01-2025 15:26     54%   20 hours and  43 minutes
01-01-2025 15:54     55%   20 hours and  17 minutes
01-01-2025 16:22     56%   19 hours and  51 minutes
01-01-2025 16:51     57%   19 hours and  25 minutes
01-01-2025 17:19     58%   18 hours and  58 minutes
01-01-2025 17:47     59%   18 hours and  32 minutes
01-01-2025 18:15     60%   18 hours and   5 minutes
01-01-2025 18:43     61%   17 hours and  39 minutes
01-01-2025 19:11     62%   17 hours and  12 minutes
01-01-2025 19:39     63%   16 hours and  45 minutes
01-01-2025 20:06     64%   16 hours and  18 minutes
01-01-2025 20:34     65%   15 hours and  51 minutes
01-01-2025 21:02     66%   15 hours and  24 minutes
01-01-2025 21:30     67%   14 hours and  57 minutes
01-01-2025 21:57     68%   14 hours and  30 minutes
01-01-2025 22:24     69%   14 hours and   3 minutes
01-01-2025 22:51     70%   13 hours and  36 minutes
01-01-2025 23:17     71%   13 hours and   8 minutes
01-01-2025 23:44     72%   12 hours and  41 minutes
02-01-2025 00:11     73%   12 hours and  13 minutes
02-01-2025 00:38     74%   11 hours and  46 minutes
02-01-2025 01:06     75%   11 hours and  19 minutes
02-01-2025 01:32     76%   10 hours and  52 minutes
02-01-2025 01:59     77%   10 hours and  25 minutes
02-01-2025 02:26     78%    9 hours and  57 minutes
02-01-2025 02:53     79%    9 hours and  30 minutes
02-01-2025 03:20     80%    9 hours and   3 minutes
02-01-2025 03:47     81%    8 hours and  36 minutes
02-01-2025 04:14     82%    8 hours and   8 minutes
02-01-2025 04:41     83%    7 hours and  41 minutes
02-01-2025 05:08     84%    7 hours and  14 minutes
02-01-2025 05:36     85%    6 hours and  47 minutes
02-01-2025 06:04     86%    6 hours and  20 minutes
02-01-2025 06:33     87%    5 hours and  53 minutes
02-01-2025 06:59     88%    5 hours and  26 minutes
02-01-2025 07:28     89%    4 hours and  59 minutes
02-01-2025 07:56     90%    4 hours and  32 minutes
02-01-2025 08:23     91%    4 hours and   4 minutes
02-01-2025 08:50     92%    3 hours and  37 minutes
02-01-2025 09:17     93%    3 hours and  10 minutes
02-01-2025 09:44     94%    2 hours and  43 minutes
02-01-2025 10:11     95%    2 hours and  16 minutes
02-01-2025 10:37     96%    1 hours and  48 minutes
02-01-2025 11:04     97%    1 hours and  21 minutes
02-01-2025 11:33     98%   54 minutes and 24 seconds
02-01-2025 12:00     99%   27 minutes and 12 seconds
02-01-2025 12:27    100%    0 minutes and  0 seconds
