Simulation state at cycle:     790000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.172503   50.611136

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.5809872717E+000
Box 2    0.2531141453E+002

Rotation per molecule type
Box 1    0.9725452334E+002
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.3835735908E+003
Box 2   0.1775803661E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 392   
Atomtype         X                  Y                   Z
  1       19.2442145953        0.8881620087       17.3302183767
  2       18.7644556487        1.1195186384       17.4673513891
  1       18.2920309691        1.3549872372       17.6218488324
  1       24.7416662387        0.5355269281        0.1593384287
  2       25.2111607606        0.4000926978        0.4117913217
  1       25.6776223807        0.2710330896        0.6730520602
  1       11.2231213916       26.4066795359       11.0541385894
  2       11.1061006110       26.0154510108       10.6857008361
  1       10.9587666610       25.6269323590       10.3253593822
  1        4.9969171862        9.0887167968       15.2410690029
  2        5.5241599587        9.0566833113       15.0878080664
  1        6.0482461026        9.0157809086       14.9260653502
  1       24.9196756047       15.7255822508       14.5412396340
  2       24.6605092217       15.5040116753       14.9727941102
  1       24.4100219079       15.2996064924       15.4177375064
  1       24.6576266690       10.0731201868       22.2127488751
  2       24.5670997617        9.5645568961       22.4016092956
  1       24.4768801097        9.0726496461       22.6304928265
  1        8.4489519944        4.9236996153       23.4660084374
  2        8.8080717877        4.6026367218       23.7314356261
  1        9.1649528682        4.2781210944       23.9956807791
  1       16.9374231352        4.4374359683       10.9011390497
  2       17.0504422689        3.9166517190       11.0371921316
  1       17.1284529240        3.3858657904       11.1583558005
  1       14.8332447422       10.6983397657       18.4219610176
  2       15.2871014023       10.4197023652       18.2845734957
  1       15.7477093627       10.1463716370       18.1595510228
  1       13.0509522796       26.3792380616       26.4014834722
  2       12.8599649026       26.0525667735       26.0023472907
  1       12.6842554980       25.6971001354       25.6212047015
  1       23.0199284840       22.9737451677       11.6374406621
  2       22.5900211036       23.0786202868       11.3108203111
  1       22.1733666901       23.1608468639       10.9613379958
  1       12.6551442123       26.4633676583        5.1245938116
  2       12.9453370023       26.7215496372        4.7351965717
  1       13.2161921567       26.9742501133        4.3286501984
  1       10.4387975061        0.7605740336       17.3681490257
  2       10.9483416201        0.5802255895       17.2664669988
  1       11.4565958860        0.4039825055       17.1519419993
  1       17.5741345061       25.2910904985        5.1812795252
  2       17.5212912260       24.8030290076        4.9332803945
  1       17.4651542959       24.3118105509        4.6923383435
  1       17.0612642897       26.8058360916       14.8430404743
  2       17.0286625770       26.5844430394       15.3454568800
  1       16.9509808616       26.3613075566       15.8421218641
  1       15.6639671405        5.5631199271        4.7125292920
  2       15.5196170485        5.5234856517        4.1832919396
  1       15.4045803671        5.4770189345        3.6474678966
  1        6.4569756559        1.7210637787       16.4316147917
  2        6.3606758868        1.7540915923       16.9721104143
  1        6.2837231145        1.7892701132       17.5155630263
  1        2.5946755810       24.9704809552       24.0016492693
  2        2.2559088306       25.4031655577       23.9788211378
  1        1.9117058781       25.8307400528       23.9441169942
  1       26.5134707287       19.2953980954       28.1737968550
  2       26.2549849160       19.0239538011       27.7713007933
  1       26.0157432865       18.7558211488       27.3549255749
  1        9.9345927013       24.6421807313        4.0724346248
  2        9.3987507071       24.6624314500        3.9501101969
  1        8.8639257523       24.6863164744        3.8240476238
  1       21.0179548974        9.6376701011       13.6530092692
  2       21.1527766282        9.6598140664       13.1202497121
  1       21.2778179399        9.6918353802       12.5856102964
  1        4.7247593128       23.2520896151       26.9690936106
  2        4.9287029016       23.2811754401       26.4591318205
  1        5.1030329750       23.2854804257       25.9375088804
  1       12.5675490151        7.1940248673       12.2260591717
  2       12.9376806563        7.4243618397       11.8907273252
  1       13.3032017338        7.6599063074       11.5539586440
  1       12.0907664616       15.9512752174        6.3260121782
  2       11.5758458256       15.7585892024        6.3411395777
  1       11.0573437107       15.5755709564        6.3537838452
  1       21.2205184816       17.7822839809        4.3311686189
  2       20.7201729531       17.6520823403        4.1435469655
  1       20.2198460073       17.5162111136        3.9599388065
  1        6.3534910118        8.2249842435        0.0327229937
  2        6.6414311672        8.5479869238        0.3722222360
  1        6.9448360772        8.8345496024        0.7304502231
  1       12.6038828222       17.4888342901       17.7959022626
  2       12.4012552848       17.1345973773       17.4271770387
  1       12.2012434316       16.7904206134       17.0476541635
  1       26.2115214382       12.3484082690       15.5799090586
  2       26.4642888214       12.2424883498       16.0567629363
  1       26.7128948204       12.1271440545       16.5336179980
  1       10.8423536283       11.4142524107       12.5140687197
  2       10.9553916403       11.6811888994       12.9814735964
  1       11.0639102503       11.9281658831       13.4607710822
  1        3.8980707572       15.0673711082        4.5273267086
  2        4.0411952484       14.5572991895        4.3795362563
  1        4.2091600752       14.0555491196        4.2294206901
  1       24.8086747867        2.5552469590       10.4762441829
  2       24.3511856135        2.8367340244       10.5944333889
  1       23.8847444947        3.1123683658       10.6890821687
  1        8.2116138450       14.7562557573       26.9141006081
  2        8.3861993944       15.2621407139       27.0409875527
  1        8.5611515673       15.7671704008       27.1707440614
  1        1.3670494047       17.3997998114       27.0005402496
  2        1.6324146028       16.9187848710       27.0271097581
  1        1.9022716332       16.4429810750       27.0844502303
  1       24.8850413164       22.6747262617       26.5145784985
  2       25.0288724538       23.2055863951       26.5149287716
  1       25.1903634477       23.7309392872       26.4943133257
  1       16.4819080916       22.5974733704       26.8108860715
  2       16.1007602259       22.9894881515       26.8704739550
  1       15.7149685063       23.3722237887       26.9551980962
  1       19.0406292713       20.1363199624       26.7107592108
  2       18.7491188392       20.0164501523       27.1614840677
  1       18.4751913407       19.9109524642       27.6266012168
  1       21.5919757022        7.9849405067       19.6520070400
  2       21.4383232938        7.4937125950       19.4581357525
  1       21.2718632328        6.9954349690       19.2953154388
  1       18.4297933083       21.4877167667       23.8179193053
  2       18.1875515954       21.0025179427       23.7262620428
  1       17.9304669089       20.5212420188       23.6571176429
  1        9.0669384860        1.4282843854       14.2960425820
  2        9.3223251779        1.2555033891       13.8406039309
  1        9.5513477971        1.0886244754       13.3692229098
  1       26.5805369069        8.2800242186       19.2448905407
  2       27.0502572752        8.4879549997       19.0483515730
  1       27.5294115807        8.6866606674       18.8655204813
  1       21.0085617413        5.8435870272       11.8799410115
  2       20.5609679723        5.8881119237       11.5634329522
  1       20.1102037304        5.9292820602       11.2509963714
  1       25.3011768181       15.0782169429        9.3038431013
  2       24.9592670969       15.0880353369        9.7345417683
