3: Carbon dioxide: V/L sat. T=220.0 to 300.0 K

		Liquid	Vapor	Liquid	Vapor	Liquid	Vapor
Temperature	Pressure	Density	Density	Enthalpy	Enthalpy	Entropy	Entropy
(K)	(bar)	(kg/m^3)	(kg/m^3)	(kJ/kg)	(kJ/kg)	(kJ/kg-K)	(kJ/kg-K)
220.00	5.9913	1166.1	15.817	86.728	431.64	0.55166	2.1194
225.00	7.3509	1147.7	19.261	96.607	433.24	0.59553	2.0917
230.00	8.9291	1128.7	23.271	106.57	434.60	0.63873	2.0649
235.00	10.747	1109.1	27.921	116.64	435.69	0.68134	2.0390
240.00	12.825	1088.9	33.295	126.84	436.49	0.72348	2.0137
245.00	15.185	1067.9	39.496	137.18	436.95	0.76524	1.9888
250.00	17.850	1046.0	46.644	147.71	437.04	0.80675	1.9641
255.00	20.843	1023.0	54.889	158.45	436.72	0.84813	1.9394
260.00	24.188	998.89	64.417	169.44	435.92	0.88954	1.9144
265.00	27.909	973.25	75.471	180.74	434.56	0.93114	1.8890
270.00	32.033	945.83	88.374	192.41	432.56	0.97317	1.8626
275.00	36.589	916.16	103.58	204.55	429.75	1.0159	1.8348
280.00	41.607	883.58	121.74	217.30	425.94	1.0598	1.8050
285.00	47.123	847.05	143.92	230.86	420.80	1.1056	1.7720
290.00	53.177	804.67	171.96	245.63	413.75	1.1544	1.7341
295.00	59.822	752.56	209.72	262.38	403.64	1.2087	1.6876
300.00	67.131	679.24	268.58	283.38	387.08	1.2759	1.6215
