# Molecule: N2                      
# Box 1                   Boltzmann             Biased
   0.1248731584E-001   0.8997547540E+003   0.8999134051E+003
   0.1248985267E-001   0.8998009899E+003   0.8999590381E+003
   0.1249238951E-001   0.8998471959E+003   0.9000046425E+003
   0.1249492634E-001   0.8998933718E+003   0.9000502181E+003
   0.1249746317E-001   0.8999395173E+003   0.9000957646E+003
   0.1250000000E-001   0.8999856324E+003   0.9001412821E+003
   0.1250253683E-001   0.9000317169E+003   0.9001867703E+003
   0.1250507366E-001   0.9000777706E+003   0.9002322290E+003
   0.1250761049E-001   0.9001237932E+003   0.9002776581E+003
   0.1251014733E-001   0.9001697848E+003   0.9003230575E+003
   0.1251268416E-001   0.9002157450E+003   0.9003684270E+003


# Box 2                   Boltzmann             Biased
           -Infinity                 NaN                 NaN
           -Infinity                 NaN                 NaN
           -Infinity                 NaN                 NaN
           -Infinity                 NaN                 NaN
           -Infinity                 NaN                 NaN
   0.1250000000E-001   0.1146746381E+000   0.1133259686E+000
            Infinity                 NaN                 NaN
            Infinity                 NaN                 NaN
            Infinity                 NaN                 NaN
            Infinity                 NaN                 NaN
            Infinity                 NaN                 NaN


