# Time-averaged data for fix DensAve
# TimeStep v_Density
20000 0.119237
40000 0.114717
60000 0.118226
80000 0.117103
100000 0.118851
120000 0.117414
140000 0.119563
160000 0.117557
180000 0.113694
200000 0.115884
220000 0.116021
240000 0.116205
260000 0.114169
280000 0.115637
300000 0.116658
320000 0.120647
340000 0.122366
360000 0.118703
380000 0.116635
400000 0.118209
420000 0.117826
440000 0.116953
460000 0.118883
480000 0.117267
500000 0.11705
520000 0.116306
540000 0.11784
560000 0.11958
580000 0.11931
600000 0.118906
620000 0.119755
640000 0.120241
660000 0.120212
680000 0.124188
700000 0.120073
720000 0.117799
740000 0.118233
760000 0.115408
780000 0.11747
800000 0.123231
820000 0.119915
840000 0.120299
860000 0.121446
880000 0.120614
900000 0.11728
920000 0.113149
940000 0.120657
960000 0.117722
980000 0.119473
1000000 0.118213
1020000 0.120135
1040000 0.120142
1060000 0.117532
1080000 0.119487
1100000 0.117912
1120000 0.118845
1140000 0.117775
1160000 0.119069
1180000 0.119061
1200000 0.119203
1220000 0.121684
1240000 0.121027
1260000 0.119785
1280000 0.120565
1300000 0.122069
1320000 0.120076
1340000 0.118256
1360000 0.1297
1380000 0.12025
1400000 0.117647
1420000 0.119143
1440000 0.122178
1460000 0.119742
1480000 0.124127
1500000 0.121355
1520000 0.121962
1540000 0.123491
1560000 0.121318
1580000 0.118231
1600000 0.1186
1620000 0.121182
1640000 0.119285
1660000 0.12477
1680000 0.12328
1700000 0.123492
1720000 0.120909
1740000 0.120962
1760000 0.119871
1780000 0.121654
1800000 0.119366
1820000 0.119655
1840000 0.124802
1860000 0.120383
1880000 0.126043
1900000 0.123766
1920000 0.124444
1940000 0.123063
1960000 0.117899
1980000 0.120138
2000000 0.121437
