# Time-averaged data for fix DensAve
# TimeStep v_Density
20000 0.205907
40000 0.20107
60000 0.202908
80000 0.197931
100000 0.202781
120000 0.206663
140000 0.211159
160000 0.204921
180000 0.21218
200000 0.203174
220000 0.197861
240000 0.204955
260000 0.207738
280000 0.204232
300000 0.205169
320000 0.207188
340000 0.200176
360000 0.200078
380000 0.206637
400000 0.209544
420000 0.202773
440000 0.20912
460000 0.210588
480000 0.210772
500000 0.209151
520000 0.203189
540000 0.20235
560000 0.204227
580000 0.200258
600000 0.210584
620000 0.208848
640000 0.20907
660000 0.208893
680000 0.213602
700000 0.210189
720000 0.208251
740000 0.209107
760000 0.206627
780000 0.209236
800000 0.209386
820000 0.211504
840000 0.202363
860000 0.211283
880000 0.206608
900000 0.215739
920000 0.218744
940000 0.212967
960000 0.208246
980000 0.205813
1000000 0.202439
1020000 0.216155
1040000 0.209855
1060000 0.206609
1080000 0.204678
1100000 0.206054
1120000 0.207344
1140000 0.205661
1160000 0.211927
1180000 0.214774
1200000 0.20687
1220000 0.206016
1240000 0.205999
1260000 0.206148
1280000 0.212544
1300000 0.213732
1320000 0.214881
1340000 0.214751
1360000 0.208557
1380000 0.210339
1400000 0.209883
1420000 0.209028
1440000 0.209288
1460000 0.202602
1480000 0.211854
1500000 0.216701
1520000 0.209504
1540000 0.211899
1560000 0.214133
1580000 0.215402
1600000 0.207836
1620000 0.208648
1640000 0.214785
1660000 0.210808
1680000 0.210312
1700000 0.215937
1720000 0.208749
1740000 0.209143
1760000 0.211572
1780000 0.206906
1800000 0.210069
1820000 0.213534
1840000 0.207037
1860000 0.209433
1880000 0.21426
1900000 0.211537
1920000 0.208988
1940000 0.215243
1960000 0.218139
1980000 0.211039
2000000 0.212941
